都道府県,世帯人員,持ち家率,年間収入,貯蓄現在高,負債現在高
北海道,2.21,75.5,"4,607","10,918","3,326"
青森県,2.54,77.0,"4,382","8,464","2,945"
岩手県,2.55,80.5,"4,948","12,278","3,027"
宮城県,2.49,73.2,"5,031","9,835","3,611"
秋田県,2.52,80.3,"5,199","11,408","2,980"
山形県,2.73,80.7,"5,987","11,689","3,526"
福島県,2.58,75.8,"5,097","12,209","3,611"
茨城県,2.63,84.1,"5,708","14,616","3,851"
栃木県,2.56,83.5,"5,590","14,068","4,505"
群馬県,2.62,82.5,"5,442","12,288","3,841"
埼玉県,2.50,77.7,"5,754","15,185","4,897"
千葉県,2.43,80.8,"5,827","17,583","4,556"
東京都,2.15,68.5,"6,092","17,729","6,074"
神奈川県,2.29,71.7,"5,813","17,003","5,359"
新潟県,2.68,81.1,"5,412","12,901","4,052"
富山県,2.79,92.6,"6,023","16,668","3,459"
石川県,2.55,79.4,"5,691","15,454","4,224"
福井県,2.82,90.6,"6,305","17,662","3,635"
山梨県,2.57,81.5,"5,682","11,959","3,285"
長野県,2.56,77.7,"5,361","13,727","3,434"
岐阜県,2.67,85.6,"5,665","16,500","3,597"
静岡県,2.51,79.1,"5,837","14,549","4,370"
愛知県,2.49,73.6,"5,725","16,641","4,295"
三重県,2.50,86.5,"5,726","16,781","3,647"
滋賀県,2.53,84.3,"5,826","13,655","4,935"
京都府,2.41,78.5,"5,017","14,398","3,718"
大阪府,2.34,72.6,"4,952","14,801","4,030"
兵庫県,2.35,76.8,"5,194","15,206","3,745"
奈良県,2.63,86.1,"5,380","17,816","3,642"
和歌山県,2.44,84.8,"4,775","16,421","3,404"
鳥取県,2.62,81.2,"5,221","14,059","2,910"
島根県,2.44,80.3,"5,203","15,354","2,322"
岡山県,2.42,76.6,"5,183","14,495","3,021"
広島県,2.32,76.8,"4,976","14,890","3,451"
山口県,2.29,79.9,"4,767","15,623","2,646"
徳島県,2.32,84.1,"5,044","14,079","2,330"
香川県,2.32,78.6,"4,946","15,589","2,206"
愛媛県,2.35,77.6,"4,660","10,966","3,264"
高知県,2.22,77.3,"4,577","12,148","2,584"
福岡県,2.28,68.2,"4,665","10,854","2,847"
佐賀県,2.62,74.8,"5,050","11,952","3,318"
長崎県,2.34,65.6,"4,537","9,271","1,906"
熊本県,2.49,75.8,"4,896","11,280","3,577"
大分県,2.23,74.6,"4,543","10,682","2,721"
宮崎県,2.33,72.5,"4,483","9,907","2,980"
鹿児島県,2.30,72.4,"4,398","8,217","3,521"
沖縄県,2.39,50.4,"3,780","5,318","3,122"
