都道府県,年齢層,性別,人口（千人）
北海道,15歳未満,男性,278
青森県,15歳未満,男性,65
岩手県,15歳未満,男性,66
宮城県,15歳未満,男性,135
秋田県,15歳未満,男性,46
山形県,15歳未満,男性,60
福島県,15歳未満,男性,103
茨城県,15歳未満,男性,168
栃木県,15歳未満,男性,115
群馬県,15歳未満,男性,113
埼玉県,15歳未満,男性,440
千葉県,15歳未満,男性,373
東京都,15歳未満,男性,795
神奈川県,15歳未満,男性,549
新潟県,15歳未満,男性,124
富山県,15歳未満,男性,58
石川県,15歳未満,男性,69
福井県,15歳未満,男性,48
山梨県,15歳未満,男性,46
長野県,15歳未満,男性,123
岐阜県,15歳未満,男性,121
静岡県,15歳未満,男性,220
愛知県,15歳未満,男性,495
三重県,15歳未満,男性,107
滋賀県,15歳未満,男性,97
京都府,15歳未満,男性,148
大阪府,15歳未満,男性,521
兵庫県,15歳未満,男性,336
奈良県,15歳未満,男性,77
和歌山県,15歳未満,男性,53
鳥取県,15歳未満,男性,35
島根県,15歳未満,男性,42
岡山県,15歳未満,男性,118
広島県,15歳未満,男性,178
山口県,15歳未満,男性,77
徳島県,15歳未満,男性,39
香川県,15歳未満,男性,58
愛媛県,15歳未満,男性,77
高知県,15歳未満,男性,38
福岡県,15歳未満,男性,338
佐賀県,15歳未満,男性,55
長崎県,15歳未満,男性,83
熊本県,15歳未満,男性,116
大分県,15歳未満,男性,68
宮崎県,15歳未満,男性,71
鹿児島県,15歳未満,男性,105
沖縄県,15歳未満,男性,124
北海道,15～64歳,男性,"1,463"
青森県,15～64歳,男性,338
岩手県,15～64歳,男性,337
宮城県,15～64歳,男性,695
秋田県,15～64歳,男性,251
山形県,15～64歳,男性,294
福島県,15～64歳,男性,534
茨城県,15～64歳,男性,867
栃木県,15～64歳,男性,588
群馬県,15～64歳,男性,578
埼玉県,15～64歳,男性,"2,306"
千葉県,15～64歳,男性,"1,956"
東京都,15～64歳,男性,"4,697"
神奈川県,15～64歳,男性,"2,983"
新潟県,15～64歳,男性,620
富山県,15～64歳,男性,296
石川県,15～64歳,男性,332
福井県,15～64歳,男性,221
山梨県,15～64歳,男性,238
長野県,15～64歳,男性,581
岐阜県,15～64歳,男性,565
静岡県,15～64歳,男性,"1,072"
愛知県,15～64歳,男性,"2,398"
